연번,업무일자,시간대,호선,역명,교통카드구분,사용자구분,사용일수구분,승차건수,하차건수
1,2024-01-01,10,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
4,2024-01-01,13,1호선,종각,고급형선불카드,일반,7일권,0,1
5,2024-01-01,17,4호선,명동,고급형선불카드,일반,7일권,1,0
6,2024-01-01,18,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,0,1
7,2024-01-02,9,4호선,서울역,고급형선불카드,일반,1일권,1,0
8,2024-01-02,10,2호선,삼성(무역센터),고급형선불카드,일반,1일권,1,1
9,2024-01-02,10,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
10,2024-01-02,10,4호선,신용산,고급형선불카드,일반,7일권,0,1
11,2024-01-02,11,1호선,동묘앞,고급형선불카드,일반,7일권,0,1
12,2024-01-02,11,2호선,강남,고급형선불카드,일반,1일권,1,1
13,2024-01-02,11,2호선,사당,고급형선불카드,일반,1일권,1,2
14,2024-01-02,11,4호선,사당,고급형선불카드,일반,1일권,1,0
15,2024-01-02,12,3호선,안국,고급형선불카드,일반,1일권,0,1
16,2024-01-02,13,3호선,경복궁(정부서울청사),고급형선불카드,일반,1일권,1,0
17,2024-01-02,14,3호선,안국,고급형선불카드,일반,1일권,1,1
18,2024-01-02,15,5호선,여의도,고급형선불카드,일반,1일권,1,1
19,2024-01-02,16,5호선,여의나루,고급형선불카드,일반,1일권,0,1
20,2024-01-02,17,5호선,여의나루,고급형선불카드,일반,1일권,1,0
21,2024-01-02,18,4호선,회현(남대문시장),고급형선불카드,일반,1일권,0,1
22,2024-01-02,19,1호선,서울역,고급형선불카드,일반,1일권,1,0
23,2024-01-02,19,4호선,회현(남대문시장),고급형선불카드,일반,1일권,1,0
24,2024-01-02,19,4호선,서울역,고급형선불카드,일반,1일권,0,1
25,2024-01-02,19,4호선,서울역,고급형선불카드,일반,7일권,1,1
26,2024-01-02,19,4호선,숙대입구(갈월),고급형선불카드,일반,7일권,1,0
27,2024-01-03,18,1호선,서울역,고급형선불카드,일반,5일권,1,0
28,2024-01-03,18,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,0,1
29,2024-01-04,0,1호선,서울역,고급형선불카드,일반,2일권,1,0
30,2024-01-04,0,6호선,동묘앞,고급형선불카드,일반,2일권,0,1
31,2024-01-04,10,2호선,을지로3가,고급형선불카드,일반,3일권,3,0
32,2024-01-04,10,3호선,경복궁(정부서울청사),고급형선불카드,일반,3일권,0,3
33,2024-01-04,10,4호선,서울역,고급형선불카드,일반,2일권,2,0
34,2024-01-04,11,6호선,한강진,고급형선불카드,일반,2일권,0,2
35,2024-01-04,12,4호선,서울역,고급형선불카드,일반,5일권,0,1
36,2024-01-04,12,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,1,0
37,2024-01-04,12,6호선,녹사평(용산구청),고급형선불카드,일반,2일권,0,2
38,2024-01-04,12,6호선,한강진,고급형선불카드,일반,2일권,2,0
39,2024-01-04,13,4호선,서울역,고급형선불카드,일반,5일권,1,0
40,2024-01-04,14,2호선,성수,고급형선불카드,일반,2일권,0,2
41,2024-01-04,14,2호선,강남,고급형선불카드,일반,5일권,0,1
42,2024-01-04,14,6호선,녹사평(용산구청),고급형선불카드,일반,2일권,2,0
43,2024-01-04,17,2호선,성수,고급형선불카드,일반,2일권,2,0
44,2024-01-04,17,2호선,강남,고급형선불카드,일반,5일권,1,0
45,2024-01-04,17,4호선,명동,고급형선불카드,일반,2일권,0,2
46,2024-01-04,18,1호선,시청,고급형선불카드,일반,2일권,0,1
47,2024-01-04,18,1호선,동묘앞,고급형선불카드,일반,2일권,0,1
48,2024-01-04,18,6호선,삼각지,고급형선불카드,일반,2일권,1,0
49,2024-01-04,18,6호선,이태원,고급형선불카드,일반,5일권,0,1
50,2024-01-04,18,6호선,동묘앞,고급형선불카드,일반,2일권,1,0
51,2024-01-04,19,2호선,시청,고급형선불카드,일반,2일권,1,0
52,2024-01-04,19,2호선,을지로입구,고급형선불카드,일반,2일권,2,2
53,2024-01-04,19,2호선,홍대입구,고급형선불카드,일반,2일권,0,1
54,2024-01-04,20,2호선,을지로입구,고급형선불카드,일반,2일권,0,1
55,2024-01-04,20,2호선,홍대입구,고급형선불카드,일반,2일권,1,0
56,2024-01-04,20,4호선,동대문,고급형선불카드,일반,5일권,0,1
57,2024-01-04,20,6호선,이태원,고급형선불카드,일반,5일권,1,0
58,2024-01-04,21,2호선,시청,고급형선불카드,일반,2일권,0,2
59,2024-01-04,21,2호선,을지로입구,고급형선불카드,일반,2일권,2,0
60,2024-01-04,23,1호선,서울역,고급형선불카드,일반,2일권,0,1
61,2024-01-04,23,2호선,을지로4가,고급형선불카드,일반,2일권,1,0
62,2024-01-05,6,1호선,동묘앞,고급형선불카드,일반,2일권,1,0
63,2024-01-05,7,4호선,명동,고급형선불카드,일반,2일권,0,1
64,2024-01-05,9,1호선,서울역,고급형선불카드,일반,3일권,2,0
65,2024-01-05,9,2호선,시청,고급형선불카드,일반,2일권,2,0
66,2024-01-05,10,1호선,종로5가,고급형선불카드,일반,2일권,0,2
67,2024-01-05,10,2호선,이대,고급형선불카드,일반,3일권,0,2
68,2024-01-05,11,1호선,종로5가,고급형선불카드,일반,2일권,2,0
69,2024-01-05,11,2호선,이대,고급형선불카드,일반,3일권,2,0
70,2024-01-05,11,3호선,경복궁(정부서울청사),고급형선불카드,일반,2일권,0,2
71,2024-01-05,11,3호선,안국,고급형선불카드,일반,5일권,0,1
72,2024-01-05,11,4호선,숙대입구(갈월),고급형선불카드,일반,5일권,1,0
74,2024-01-05,13,3호선,경복궁(정부서울청사),고급형선불카드,일반,2일권,2,0
75,2024-01-05,13,4호선,명동,고급형선불카드,일반,2일권,1,0
76,2024-01-05,14,1호선,시청,고급형선불카드,일반,2일권,2,2
