시설번호,시설명,호선,역코드,역명,역번호,기준일자,관리번호,출입구내외부,지상지하,인접출입구번호,상세위치,화장실정보,역층,휠체어이용가능
1806455,건축)대합실화장실-동묘앞(1) B1,1호선,159,동묘앞,127,20240701,,외부,지하,3,지하1층 3번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1806457,건축)대합실화장실-종각 종로3가측,1호선,152,종각,131,20240701,,외부,지하,3,지하1층 (다)개집표기 부근(종로3가측),"일반(남,여) / 교통약자(남,여)",B1,Y
1806458,건축)대합실화장실-종로3가(1) 내부,1호선,153,종로3가,130,20240701,,내부,지하,11,지하1층 (라)개집표기 내부(고객안전실앞),"일반(남,여) / 교통약자(남,여,공용)",B1,Y
1806456,건축)승강장화장실-동묘앞(1) B1,1호선,159,동묘앞,127,20240701,,외부,지하,2,하선승강장 7-3지점,"일반(남,여) / 교통약자(남,여)",B1,Y
1741946,건축)승강장화장실-동묘앞(1),1호선,159,동묘앞,127,20210527,,내부,지상,3,상선승강장 4-3지점,"일반(남,여) / 교통약자(남,여)",1,Y
1740565,건축)대합실화장실-청량리(1),1호선,158,청량리,124,20210527,,외부,지하,4,4번 출입구 아래,"일반(남,여) / 교통약자(남,여,공용)",B1,N
1740566,건축)대합실화장실-제기동,1호선,157,제기동,125,20210527,,외부,지하,2,2번 출입구 우측,"일반(남,여) / 교통약자(남,여)",B1,N
1740567,건축)대합실화장실-신설동(1),1호선,156,신설동,126,20210527,,외부,지하,1,대합실(지하1층) 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740568,건축)대합실화장실-동묘앞(1),1호선,159,동묘앞,127,20210527,,외부,지상,2,1층 고객안전실 부근,"일반(남,여) / 교통약자(남,여)",1,Y
1740569,건축)대합실화장실-동대문(1),1호선,155,동대문,128,20210527,,외부,지하,4,지하1층 4번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740570,건축)대합실화장실-종로5가,1호선,154,종로5가,129,20210527,,외부,지하,8,지하1층 지하상가 연결통로앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740571,건축)대합실화장실-종로3가(1),1호선,153,종로3가,130,20210527,,외부,지하,1,지하1층 (가)개집표기 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740572,건축)대합실화장실-종각,1호선,152,종각,131,20210527,,외부,지하,1,"지하1층 (가)개집표기 부근 (연결통로 부근, 시청측)","일반(남,여) / 교통약자(남,여)",B1,Y
1740573,건축)대합실화장실-시청(1),1호선,151,시청,132,20210527,,외부,지하,5,지하1층 5번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740574,건축)대합실화장실-서울역(1),1호선,150,서울역,133,20210527,,외부,지하,2,지하1층 2번 출입구 부근,"일반(남,여) / 교통약자(남,여)",B1,Y
1740578,건축)대합실화장실-을지로4가(2),2호선,204,을지로4가,204,20210527,,외부,지하,2,"지하1층 1,2번 출입구 옆","일반(남,여) / 교통약자(남,여)",B1,Y
1740579,건축)대합실화장실-동대문역사문화공원(2),2호선,205,동대문역사문화공원,205,20210527,,내부,지하,1,대합실 1층 고객안전실 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
1740580,건축)대합실화장실-신당(2),2호선,206,신당,206,20210527,,외부,지하,2,"대합실 1층 22,23번기둥","일반(남,여) / 교통약자(남,여)",B1,Y
1740581,건축)대합실화장실-상왕십리,2호선,207,상왕십리,207,20210527,,외부,지하,4,"대합실 1층 5,6번 출입구 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740582,건축)대합실화장실-왕십리(2),2호선,208,왕십리,208,20210527,,외부,지하,6-1,지하1층 6-1번 출입구 쪽,"일반(남,여) / 교통약자(남,여)",B2,Y
1740583,건축)대합실화장실-한양대,2호선,209,한양대,209,20210527,,외부,지상,2,고객안전실 맞은편,"일반(남,여) / 교통약자(남,여)",2,Y
1740584,건축)대합실화장실-뚝섬,2호선,210,뚝섬,210,20210527,,외부,지상,6,고객안전실 옆,"일반(남,여) / 교통약자(남,여)",2,Y
1740585,건축)대합실화장실-성수,2호선,211,성수,211,20210527,,외부,지상,2,대합실 2층 2번 출입구측,"일반(남,여) / 교통약자(남,여)",2,Y
1740586,건축)대합실화장실-용답,2호선,244,용답,211-1,20210527,,외부,지상,1,대합실,"일반(남,여) / 교통약자(남,여)",1,Y
1740587,건축)대합실화장실-신답,2호선,245,신답,211-2,20210527,,내부,지상,1,1층 대합실,"일반(남,여) / 교통약자(남,여)",1,Y
1740588,건축)대합실화장실-용두,2호선,250,용두,211-3,20210527,,외부,지하,5,(내선대합실)5번 출입구 입구,"일반(남,여) / 교통약자(남,여)",B1,Y
1740589,건축)대합실화장실-신설동(2),2호선,246,신설동,211-4,20210527,,내부,지하,7,대합실(지하1층) 고객안전실 옆,"일반(남,여) / 교통약자(남,여,공용)",B1,Y
1740590,건축)대합실화장실-건대입구(2),2호선,212,건대입구,212,20210527,,내부,지상,2,대합실 2층 통로 중앙,"일반(남,여) / 교통약자(남,여)",2,Y
1740591,건축)대합실화장실-구의,2호선,213,구의,213,20210527,,외부,지상,2,대합실 2층 통로 중앙,"일반(남,여) / 교통약자(남,여)",2,Y
1740592,건축)대합실화장실-강변,2호선,214,강변,214,20210527,,외부,지상,2,대합실 1층 통로 중앙,"일반(남,여) / 교통약자(남,여)",1,Y
1740593,건축)대합실화장실-잠실나루,2호선,215,잠실나루,215,20210527,,외부,지상,2,대합실 1층 통로 중앙,"일반(남,여) / 교통약자(남,여)",1,Y
1740594,건축)대합실화장실-잠실(2),2호선,216,잠실,216,20210527,,외부,지하,1,"대합실 1층 1,2번 출입구 앞","일반(남,여) / 교통약자(남,여)",B1,Y
1740595,건축)대합실화장실-잠실새내,2호선,217,잠실새내,217,20210527,,외부,지하,2,대합실 1층 2번 출입구 앞,"일반(남,여) / 교통약자(남,여)",B1,Y
