연번 ,구분 ,관리기관명,운영노선명 ,역명,소재지도로명주소 ,소재지지번주소 ,위도 ,경도 ,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 ,화장실 설치장소 유형,오물처리방식 ,남녀공용화장실여부 ,남성용-대변기수,남성용-유아용대변기수,남성용-소변기수 ,남성용-유아용소변기수,여성용-대변기수,여성용-유아용대변기수,공용-대변기수,공용-유아용대변기수,공용-소변기수 ,공용-유아용소변기수,기저귀교환대설치유무-남자장애인화장실,기저귀교환대설치유무-여자장애인화장실,기저귀교환대설치유무-공용장애인화장실,리모델링 연도,데이터기준일자
1,공중화장실(장애인),서울교통공사,1호선,서울, 서울특별시 중구 봉래동2가 122 서울역(1호선) , 서울특별시 중구 봉래동2가  ,37.556878,126.972578,지하,1,외부,2,지하1층 2번출입구 부근, 02-6110-1331 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
2,공중화장실(장애인),서울교통공사,1호선,시청, 서울특별시 중구 정동 5-5 시청역(1호선) , 서울특별시 중구 정동 5-5 ,37.565682,126.976849,지하,1,외부,5,지하1층 5번출입구 부근, 02-6110-1321 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2013,2024-06-28
3,공중화장실(장애인),서울교통공사,1호선,종각, 서울특별시 종로구 종로1가 54 종각지하철역사 , 서울특별시 종로구 종로1가  ,37.570175,126.983226,지하,1,외부,1,지하1층 (가) 표 내는 곳 부근 (연결통로 부근 또는 시청측), 02-6110-1311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2015,2024-06-28
4,공중화장실(장애인),서울교통공사,1호선,종각, 서울특별시 종로구 종로1가 54 종각지하철역사 , 서울특별시 종로구 종로1가  ,37.570175,126.983226,지하,1,외부,4,지하1층 (다) 표 내는 곳 부근 (종로3가측), 02-6110-1311 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,1,1,, 2008이전 ,2024-06-28
5,공중화장실(장애인),서울교통공사,1호선,종로3가, 서울특별시 종로3가 10-5  1호선 종로3가역(1호선) , 서울특별시 종로3가 10-5 ,37.57042,126.992153,지하,1,외부,1,지하1층 (가) 표 내는 곳 부근, 02-6110-1301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2010,2024-06-28
6,공중화장실(장애인),서울교통공사,1호선,종로3가, 서울특별시 종로3가 10-5  1호선 종로3가역(1호선) , 서울특별시 종로3가 10-5 ,37.57042,126.992153,지하,1,내부,11,지하1층 (라) 표 내는 곳 부근 (역무실앞) [표 내는 곳 내], 02-6110-1301 , 05:00~24:00 ,역사 내 화장실, 수세식 ,Y,,,,,,,1,,,,,,, 2008이전 ,2024-06-28
7,공중화장실(장애인),서울교통공사,1호선,종로5가, 서울특별시 종로구 종로5가 82-1 1호선 종로5가역 , 서울특별시 종로구 종로5가  ,37.571743,127.011169,지하,1,외부,8,지하1층 지하상가 연결통로앞, 02-6110-1291 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2014,2024-06-28
8,공중화장실(장애인),서울교통공사,1호선,동대문, 서울특별시 종로구 창신동 492-1 1호선 동대문역(1호선) , 서울특별시 종로구 창신동 4 ,37.576087,127.02456,지하,1,외부,4,지하1층 4번출입구 부근, 02-6110-1281 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,1,,,1,1,,,,,1,1,,2016,2024-06-28
9,공중화장실(장애인),서울교통공사,1호선,동묘앞, 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,37.573281,127.016649,지상,1,외부,2,1층 역무실 부근, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
10,공중화장실(장애인),서울교통공사,1호선,동묘앞, 서울특별시 종로구 숭인동 117 동묘앞역(1호선) , 서울특별시 종로구 숭인동 1 ,37.573281,127.016649,지하,1,외부,3,지하1층 3번출입구 부근, 02-6110-1271 , 05:00~24:00 ,역사 내 화장실, 수세식 ,N,1,,,,1,,,,,,,,, 2008이전 ,2024-06-28
