역명,어린이_해당역,일반_해당역,어린이_전체,일반_전체,z통계량,p값,어린이비율,일반비율,어린이_더많음,유의미
잠실(송파구청),17678,114528,267473,3676074,96.91815308646584,0.0,0.06609265234247942,0.03115497674965194,True,True
경복궁(정부서울청사),8879,83901,267473,3676074,34.17051664967046,6.630436248641495e-256,0.033195873976064875,0.022823534020261833,True,True
어린이대공원(세종대),792,3444,267473,3676074,30.855748424654006,4.690395942102936e-209,0.0029610465355381665,0.0009368690619394496,True,True
이태원,2398,57386,267473,3676074,-27.15628626853227,2.134199794486443e-162,0.008965390899268337,0.0156106759548366,False,True
신사,1842,46700,267473,3676074,-26.343219121256624,6.137910024527686e-153,0.006886676412198614,0.012703770381118551,False,True
아차산(어린이대공원후문),399,1401,267473,3676074,25.963480624596194,1.2807814336939456e-148,0.0014917393531309702,0.00038111311143355654,True,True
성수,3289,70809,267473,3676074,-25.615550197558086,1.0238174268330472e-144,0.012296568251748775,0.01926212584403905,False,True
강남,2504,56112,267473,3676074,-24.355992122701565,5.008933916070833e-131,0.009361692582055011,0.015264110570135422,False,True
한강진,1051,27628,267473,3676074,-21.075437203339234,1.336660072691538e-98,0.003929368571781077,0.007515626725686154,False,True
김포공항,1377,31515,267473,3676074,-18.803715405072527,7.040727515635667e-79,0.005148183181106131,0.008573004787172402,False,True
뚝섬,886,21944,267473,3676074,-17.48717671203991,1.7942886613732838e-68,0.0033124838768772923,0.005969411932403973,False,True
자양(뚝섬한강공원),506,3121,267473,3676074,17.177075182017486,3.942962082269108e-66,0.001891779731038273,0.0008490035837145825,True,True
서울역,11424,183662,267473,3676074,-16.695907382444123,1.4036884034791417e-62,0.04271085305806568,0.04996145344190569,False,True
선릉,722,17987,267473,3676074,-15.940706613218524,3.305943485069505e-57,0.0026993378770941365,0.004892991816813263,False,True
신흥,67,126,267473,3676074,15.43311732143603,9.801912901311321e-54,0.0002504925730821429,3.427569738802864e-05,True,True
압구정,1780,35289,267473,3676074,-15.238011721927544,1.9779847276081682e-52,0.006654877314719617,0.009599643532747164,False,True
봉천,219,1063,267473,3676074,14.669402874873086,1.0123199060004997e-48,0.0008187742314177506,0.000289167193043448,True,True
면목,100,306,267473,3676074,14.303083914774378,2.093240307502244e-46,0.0003738695120628998,8.32409793709267e-05,True,True
명동,32480,415253,267473,3676074,13.334244704240927,1.463291972979604e-40,0.12143281751802985,0.11296100132913538,True,True
역삼,970,20427,267473,3676074,-13.120229591299271,2.5216981948021732e-39,0.0036265342670101283,0.005556743417025881,False,True
신당,651,14734,267473,3676074,-12.60925031529437,1.877706195562951e-36,0.0024338905235294778,0.004008080359644555,False,True
신설동,791,17005,267473,3676074,-12.43061344480849,1.782611100299875e-35,0.0029573078404175374,0.004625859000662119,False,True
구파발,261,1603,267473,3676074,12.399195407793197,2.639606828758912e-35,0.0009757994264841685,0.0004360630389921422,True,True
청담,246,7377,267473,3676074,-12.357636312469392,4.429916217090392e-35,0.0009197189996747335,0.0020067604732657723,False,True
신길,126,4800,267473,3676074,-11.799637072401936,3.9199843302991684e-32,0.00047107558519925375,0.0013057408528772815,False,True
삼성(무역센터),8325,100235,267473,3676074,11.773231895493344,5.362979497968136e-32,0.03112463687923641,0.027266861330865484,True,True
방화,75,251,267473,3676074,11.650070015987158,2.2927037318944133e-31,0.00028040213404717485,6.827936543170784e-05,True,True
한양대,78,3667,267473,3676074,-11.443632856705776,2.5306240166248897e-30,0.0002916182194090618,0.0009975316057293732,False,True
장한평,506,11140,267473,3676074,-10.477736404878579,1.0932916531087816e-25,0.001891779731038273,0.003030406896052691,False,True
마포,1433,14983,267473,3676074,9.940364186943219,2.7780960347110544e-23,0.005357550107861354,0.004075815666387565,True,True
답십리,110,3724,267473,3676074,-9.641744056672472,5.327502308453443e-22,0.0004112564632691898,0.001013037278357291,False,True
마장,449,3855,267473,3676074,9.527398263851728,1.6127430711093084e-21,0.0016786741091624202,0.0010486731224670668,True,True
강변(동서울터미널),333,7733,267473,3676074,-9.489586670226105,2.3195214844494475e-21,0.0012449854751694564,0.0021036029198541707,False,True
신림,175,4889,267473,3676074,-9.421178208451908,4.460542968884533e-21,0.0006542716461100746,0.0013299514645243812,False,True
광나루(장신대),97,3365,267473,3676074,-9.318985539007842,1.1745793538267555e-20,0.0003626534267010128,0.0009153787437358443,False,True
