역명,어린이_해당역,일반_해당역,어린이_전체,일반_전체,z통계량,p값,어린이비율,일반비율,어린이_더많음,유의미
잠실(송파구청),17057,109626,264364,3782464,101.44509147458484,0.0,0.0645208878667292,0.02898269487825925,True,True
어린이대공원(세종대),748,2916,264364,3782464,34.02198743884282,1.0539588940253262e-253,0.002829432146585768,0.0007709260418605438,True,True
이태원,2408,67921,264364,3782464,-33.65745276931172,2.425731019211487e-248,0.009108653220559532,0.017956813336491767,False,True
경복궁(정부서울청사),9404,98753,264364,3782464,29.168955687765507,4.803554695477468e-187,0.035572165650391126,0.026108113652899275,True,True
성수,3716,84908,264364,3782464,-28.500787367234057,1.1454022626502038e-178,0.01405637681378705,0.022447801221637535,False,True
한강진,1186,34272,264364,3782464,-24.399905661374344,1.714130145417053e-131,0.004486238670923424,0.009060760393225157,False,True
아차산(어린이대공원후문),339,1215,264364,3782464,24.384659210236478,2.4878638707400966e-131,0.0012823228578777745,0.0003212191841085599,True,True
신사,1836,45451,264364,3782464,-23.4577758434058,1.1011664114817832e-121,0.0069449698143468856,0.012016241264953216,False,True
압구정,1940,42946,264364,3782464,-19.05927465657889,5.503245088468052e-81,0.007338366797294639,0.011353974552038036,False,True
강남,2463,51678,264364,3782464,-18.8027854052283,7.165284079328858e-79,0.009316699701926133,0.013662522630750748,False,True
자양(뚝섬한강공원),396,2302,264364,3782464,17.126893873201098,9.351599499601339e-66,0.0014979346658395244,0.0006085979932657654,True,True
봉천,222,998,264364,3782464,16.490080013322654,4.323765238506075e-61,0.0008397512520615514,0.0002638491734488418,True,True
신흥,66,116,264364,3782464,16.232403319729595,2.975764772900152e-59,0.0002496557776399207,3.066783979966498e-05,True,True
을지로입구,15665,199893,264364,3782464,14.18480363051853,1.1378379343560582e-45,0.05925542055650542,0.052847297423055446,True,True
선릉,619,15620,264364,3782464,-14.059743598734086,6.71289842980129e-45,0.00234146858119865,0.004129583255782474,False,True
면목,92,294,264364,3782464,13.757077223992937,4.618230398947808e-43,0.0003480050233768592,7.772711121639228e-05,True,True
역삼,869,19885,264364,3782464,-13.70960502432426,8.894067734499381e-43,0.0032871344055922895,0.005257155124278777,False,True
뚝섬,714,16622,264364,3782464,-12.890646674210387,5.081590692440921e-38,0.0027008215944682333,0.004394489940948545,False,True
신당,656,15579,264364,3782464,-12.875615149717365,6.17451628726248e-38,0.002481427123208909,0.004118743760680868,False,True
삼성(무역센터),6847,83765,264364,3782464,12.61361425026286,1.7765506429281278e-36,0.025899895598492987,0.022145617248439112,True,True
종로3가,5763,96085,264364,3782464,-11.435191712618801,2.789199611972364e-30,0.021799488583922166,0.02540275333750698,False,True
신설동,692,15349,264364,3782464,-11.394583382300322,4.449532670612175e-30,0.002617603001921593,0.004057936836940153,False,True
광화문(세종문화회관),2758,31542,264364,3782464,11.35216555653042,7.234830350612789e-30,0.010432585374710627,0.0083390086462158,True,True
장한평,447,10827,264364,3782464,-11.049009202954839,2.2164755278598994e-28,0.0016908504940158268,0.0028624198406118338,False,True
광나루(장신대),74,3562,264364,3782464,-10.979856694927934,4.776809673975669e-28,0.0002799170840205172,0.0009417141841931609,False,True
청담,254,7115,264364,3782464,-10.72968698137302,7.38458927498877e-27,0.0009607964775839373,0.0018810489670225547,False,True
홍대입구,20191,310796,264364,3782464,-10.505798793763583,8.12321377236666e-26,0.07637575464132787,0.08216760291704032,False,True
신길,125,4432,264364,3782464,-10.358636062658302,3.823755582648028e-25,0.00047283291219681956,0.0011717229826906483,False,True
김포공항,565,12375,264364,3782464,-9.988739799933077,1.7073849349892258e-23,0.0021372047631296243,0.003271676875179777,False,True
답십리,106,3852,264364,3782464,-9.818493998904136,9.373334152961109e-23,0.00040096230954290296,0.0010183837836923234,False,True
방화,62,248,264364,3782464,9.596363719618658,8.281460338097742e-22,0.00023452512444962248,6.556572646824927e-05,True,True
안국,7653,98012,264364,3782464,9.465493109030714,2.9217918721970204e-21,0.02894872221633808,0.02591220960728245,True,True
한양대,93,3431,264364,3782464,-9.357977020248564,8.127791908718297e-21,0.00035178768667443373,0.000907080675453884,False,True
신촌,1628,29506,264364,3782464,-9.344783238907851,9.207788305444845e-21,0.006158175848451378,0.007800735182145818,False,True
구파발,237,1806,264364,3782464,9.272644532329542,1.8158677439599124e-20,0.0008964912015251698,0.00047746654032926686,True,True
하남검단산,84,418,264364,3782464,9.249624636773797,2.2528241366743912e-20,0.0003177437169962627,0.00011050997445051691,True,True
마장,466,4338,264364,3782464,8.890366811219938,6.090750319360138e-19,0.0017627210966697433,0.0011468714573357472,True,True
성신여대입구(돈암),1074,11883,264364,3782464,8.10366903042663,5.332605136560001e-16,0.004062580381595074,0.003141602933960508,True,True
합정,2093,35849,264364,3782464,-8.049284028050378,8.32797765796462e-16,0.007917114281823547,0.009477684387743017,False,True
미사,99,617,264364,3782464,7.8994776574650984,2.8007463318846497e-15,0.0003744836664598811,0.0001631211823827008,True,True
서울역,13630,208084,264364,3782464,-7.547269388283301,4.444786106961369e-14,0.0515577007459412,0.05501281704201282,False,True
상계,45,202,264364,3782464,7.432823725010236,1.063035266231922e-13,0.00017021984839085504,5.340434172010626e-05,True,True
강변(동서울터미널),287,6325,264364,3782464,-7.219284053512733,5.226198764688172e-13,0.0010856243664038976,0.001672190402869664,False,True
올림픽공원(한국체대),75,2435,264364,3782464,-7.188891285236207,6.531955639450797e-13,0.00028369974731809174,0.0006437602578636571,False,True
가산디지털단지,359,3470,264364,3782464,7.123293720577884,1.0537791860812476e-12,0.0013579761238292657,0.0009173914146968749,True,True
신림,179,4376,264364,3782464,-7.113252946096905,1.1333927937628814e-12,0.0006770967302658456,0.0011569178186494307,False,True
논현,88,2669,264364,3782464,-7.10127271792458,1.2361317125826186e-12,0.00033287437018656097,0.000705624693321602,False,True
장지,163,1308,264364,3782464,7.060869135856039,1.6546436917315044e-12,0.0006165741175046527,0.0003458063315341534,True,True
명동,37645,520103,264364,3782464,7.058122090460575,1.687677512060245e-12,0.14239835983719418,0.13750375416659616,True,True
약수,359,7390,264364,3782464,-6.774316698973183,1.2499559685801009e-11,0.0013579761238292657,0.001953752897582105,False,True
안암(고대병원앞),66,2088,264364,3782464,-6.516483886920863,7.197453714055311e-11,0.0002496557776399207,0.0005520211163939696,False,True
용두(동대문구청),143,1172,264364,3782464,6.372937597482587,1.8544135357291357e-10,0.0005409208515531615,0.0003098509331483393,True,True
사당,416,8182,264364,3782464,-6.364642488228916,1.9574513230439097e-10,0.0015735879317910154,0.002163140217593611,False,True
상수,662,12176,264364,3782464,-6.319765900775936,2.619598356980533e-10,0.002504123102994356,0.0032190656672475932,False,True
종로5가,3955,62677,264364,3782464,-6.28888038435305,3.197637271361084e-10,0.014960433341907371,0.016570415475203465,False,True
당산,82,2333,264364,3782464,-6.240989676870072,4.3481094699521283e-10,0.0003101783904011136,0.0006167937090742966,False,True
혜화,789,14145,264364,3782464,-6.190280743410874,6.005715263627879e-10,0.002984521341786325,0.0037396258100539756,False,True
종각,2179,35712,264364,3782464,-6.18867134775997,6.067343212360845e-10,0.008242423325414958,0.009441464611427895,False,True
새절(신사),69,457,264364,3782464,6.112507848100511,9.80774827703768e-10,0.00026100376753264437,0.00012082071369350772,True,True
우장산,47,272,264364,3782464,5.927904628932415,3.0682460011987113e-09,0.00017778517498600414,7.191079677162823e-05,True,True
청구,161,3694,264364,3782464,-5.92328593668953,3.1557143218318418e-09,0.0006090087909095035,0.000976612070861745,False,True
