,datetime_full,호선,역명,사용일수구분,승차건수,하차건수
0,2024-01-01 10:00:00,4호선,숙대입구(갈월),7일권,1,0
1,2024-01-01 11:00:00,4호선,숙대입구(갈월),7일권,0,0
2,2024-01-01 12:00:00,1호선,종각,7일권,0,0
3,2024-01-01 13:00:00,1호선,종각,7일권,0,1
4,2024-01-01 17:00:00,4호선,명동,7일권,1,0
5,2024-01-01 18:00:00,4호선,숙대입구(갈월),7일권,0,1
6,2024-01-02 09:00:00,4호선,서울역,1일권,1,0
7,2024-01-02 10:00:00,2호선,삼성(무역센터),1일권,1,1
8,2024-01-02 10:00:00,4호선,숙대입구(갈월),7일권,1,0
9,2024-01-02 10:00:00,4호선,신용산,7일권,0,1
10,2024-01-02 11:00:00,1호선,동묘앞,7일권,0,1
11,2024-01-02 11:00:00,2호선,강남,1일권,1,1
12,2024-01-02 11:00:00,2호선,사당,1일권,1,2
13,2024-01-02 11:00:00,4호선,사당,1일권,1,0
14,2024-01-02 12:00:00,3호선,안국,1일권,0,1
15,2024-01-02 13:00:00,3호선,경복궁(정부서울청사),1일권,1,0
16,2024-01-02 14:00:00,3호선,안국,1일권,1,1
17,2024-01-02 15:00:00,5호선,여의도,1일권,1,1
18,2024-01-02 16:00:00,5호선,여의나루,1일권,0,1
19,2024-01-02 17:00:00,5호선,여의나루,1일권,1,0
20,2024-01-02 18:00:00,4호선,회현(남대문시장),1일권,0,1
21,2024-01-02 19:00:00,1호선,서울역,1일권,1,0
22,2024-01-02 19:00:00,4호선,회현(남대문시장),1일권,1,0
23,2024-01-02 19:00:00,4호선,서울역,1일권,0,1
24,2024-01-02 19:00:00,4호선,서울역,7일권,1,1
25,2024-01-02 19:00:00,4호선,숙대입구(갈월),7일권,1,0
26,2024-01-03 18:00:00,1호선,서울역,5일권,1,0
27,2024-01-03 18:00:00,4호선,숙대입구(갈월),5일권,0,1
28,2024-01-04 00:00:00,1호선,서울역,2일권,1,0
29,2024-01-04 00:00:00,6호선,동묘앞,2일권,0,1
30,2024-01-04 10:00:00,2호선,을지로3가,3일권,3,0
31,2024-01-04 10:00:00,3호선,경복궁(정부서울청사),3일권,0,3
32,2024-01-04 10:00:00,4호선,서울역,2일권,2,0
33,2024-01-04 11:00:00,6호선,한강진,2일권,0,2
34,2024-01-04 12:00:00,4호선,서울역,5일권,0,1
35,2024-01-04 12:00:00,4호선,숙대입구(갈월),5일권,1,0
36,2024-01-04 12:00:00,6호선,녹사평(용산구청),2일권,0,2
37,2024-01-04 12:00:00,6호선,한강진,2일권,2,0
38,2024-01-04 13:00:00,4호선,서울역,5일권,1,0
39,2024-01-04 14:00:00,2호선,성수,2일권,0,2
40,2024-01-04 14:00:00,2호선,강남,5일권,0,1
41,2024-01-04 14:00:00,6호선,녹사평(용산구청),2일권,2,0
42,2024-01-04 17:00:00,2호선,성수,2일권,2,0
43,2024-01-04 17:00:00,2호선,강남,5일권,1,0
44,2024-01-04 17:00:00,4호선,명동,2일권,0,2
45,2024-01-04 18:00:00,1호선,시청,2일권,0,1
46,2024-01-04 18:00:00,1호선,동묘앞,2일권,0,1
