datetime_full,호선,역명,사용일수구분,승차건수,하차건수
2024-01-01 10:00:00,4호선,숙대입구(갈월),7일권,1,0
2024-01-01 13:00:00,1호선,종각,7일권,0,1
2024-01-01 17:00:00,4호선,명동,7일권,1,0
2024-01-01 18:00:00,4호선,숙대입구(갈월),7일권,0,1
2024-01-02 09:00:00,4호선,서울역,1일권,1,0
2024-01-02 10:00:00,2호선,삼성(무역센터),1일권,1,1
2024-01-02 10:00:00,4호선,숙대입구(갈월),7일권,1,0
2024-01-02 10:00:00,4호선,신용산,7일권,0,1
2024-01-02 11:00:00,1호선,동묘앞,7일권,0,1
2024-01-02 11:00:00,2호선,강남,1일권,1,1
2024-01-02 11:00:00,2호선,사당,1일권,1,2
2024-01-02 11:00:00,4호선,사당,1일권,1,0
2024-01-02 12:00:00,3호선,안국,1일권,0,1
2024-01-02 13:00:00,3호선,경복궁(정부서울청사),1일권,1,0
2024-01-02 14:00:00,3호선,안국,1일권,1,1
2024-01-02 15:00:00,5호선,여의도,1일권,1,1
2024-01-02 16:00:00,5호선,여의나루,1일권,0,1
2024-01-02 17:00:00,5호선,여의나루,1일권,1,0
2024-01-02 18:00:00,4호선,회현(남대문시장),1일권,0,1
2024-01-02 19:00:00,1호선,서울역,1일권,1,0
2024-01-02 19:00:00,4호선,회현(남대문시장),1일권,1,0
2024-01-02 19:00:00,4호선,서울역,1일권,0,1
2024-01-02 19:00:00,4호선,서울역,7일권,1,1
2024-01-02 19:00:00,4호선,숙대입구(갈월),7일권,1,0
2024-01-03 18:00:00,1호선,서울역,5일권,1,0
2024-01-03 18:00:00,4호선,숙대입구(갈월),5일권,0,1
2024-01-04 00:00:00,1호선,서울역,2일권,1,0
2024-01-04 00:00:00,6호선,동묘앞,2일권,0,1
2024-01-04 10:00:00,2호선,을지로3가,3일권,3,0
2024-01-04 10:00:00,3호선,경복궁(정부서울청사),3일권,0,3
2024-01-04 10:00:00,4호선,서울역,2일권,2,0
2024-01-04 11:00:00,6호선,한강진,2일권,0,2
2024-01-04 12:00:00,4호선,서울역,5일권,0,1
2024-01-04 12:00:00,4호선,숙대입구(갈월),5일권,1,0
2024-01-04 12:00:00,6호선,녹사평(용산구청),2일권,0,2
2024-01-04 12:00:00,6호선,한강진,2일권,2,0
2024-01-04 13:00:00,4호선,서울역,5일권,1,0
2024-01-04 14:00:00,2호선,성수,2일권,0,2
2024-01-04 14:00:00,2호선,강남,5일권,0,1
2024-01-04 14:00:00,6호선,녹사평(용산구청),2일권,2,0
2024-01-04 17:00:00,2호선,성수,2일권,2,0
2024-01-04 17:00:00,2호선,강남,5일권,1,0
2024-01-04 17:00:00,4호선,명동,2일권,0,2
2024-01-04 18:00:00,1호선,시청,2일권,0,1
2024-01-04 18:00:00,1호선,동묘앞,2일권,0,1
2024-01-04 18:00:00,6호선,삼각지,2일권,1,0
2024-01-04 18:00:00,6호선,이태원,5일권,0,1
2024-01-04 18:00:00,6호선,동묘앞,2일권,1,0
2024-01-04 19:00:00,2호선,시청,2일권,1,0
2024-01-04 19:00:00,2호선,을지로입구,2일권,2,2
2024-01-04 19:00:00,2호선,홍대입구,2일권,0,1
2024-01-04 20:00:00,2호선,을지로입구,2일권,0,1
2024-01-04 20:00:00,2호선,홍대입구,2일권,1,0
2024-01-04 20:00:00,4호선,동대문,5일권,0,1
2024-01-04 20:00:00,6호선,이태원,5일권,1,0
2024-01-04 21:00:00,2호선,시청,2일권,0,2
2024-01-04 21:00:00,2호선,을지로입구,2일권,2,0
2024-01-04 23:00:00,1호선,서울역,2일권,0,1
2024-01-04 23:00:00,2호선,을지로4가,2일권,1,0
2024-01-05 06:00:00,1호선,동묘앞,2일권,1,0
2024-01-05 07:00:00,4호선,명동,2일권,0,1
2024-01-05 09:00:00,1호선,서울역,3일권,2,0
2024-01-05 09:00:00,2호선,시청,2일권,2,0
2024-01-05 10:00:00,1호선,종로5가,2일권,0,2
2024-01-05 10:00:00,2호선,이대,3일권,0,2
2024-01-05 11:00:00,1호선,종로5가,2일권,2,0
2024-01-05 11:00:00,2호선,이대,3일권,2,0
2024-01-05 11:00:00,3호선,경복궁(정부서울청사),2일권,0,2
2024-01-05 11:00:00,3호선,안국,5일권,0,1
2024-01-05 11:00:00,4호선,숙대입구(갈월),5일권,1,0
2024-01-05 13:00:00,3호선,경복궁(정부서울청사),2일권,2,0
2024-01-05 13:00:00,4호선,명동,2일권,1,0
2024-01-05 14:00:00,1호선,시청,2일권,2,2
2024-01-05 14:00:00,3호선,경복궁(정부서울청사),2일권,0,1
2024-01-05 14:00:00,3호선,안국,5일권,1,0
2024-01-05 15:00:00,1호선,서울역,2일권,2,4
2024-01-05 15:00:00,2호선,삼성(무역센터),3일권,2,0
2024-01-05 15:00:00,3호선,경복궁(정부서울청사),5일권,0,1
2024-01-05 16:00:00,2호선,동대문역사문화공원(DDP),3일권,0,2
2024-01-05 16:00:00,3호선,경복궁(정부서울청사),5일권,1,0
2024-01-05 16:00:00,3호선,안국,2일권,1,0
2024-01-05 16:00:00,4호선,명동,2일권,0,1
2024-01-05 16:00:00,4호선,명동,5일권,0,1
2024-01-05 17:00:00,4호선,동대문,3일권,2,0
2024-01-05 18:00:00,2호선,을지로입구,3일권,3,0
2024-01-05 18:00:00,2호선,을지로3가,3일권,0,3
2024-01-05 18:00:00,4호선,명동,3일권,0,2
2024-01-05 20:00:00,1호선,동묘앞,2일권,1,1
2024-01-05 20:00:00,4호선,명동,2일권,1,0
2024-01-05 21:00:00,1호선,서울역,2일권,0,1
2024-01-05 21:00:00,4호선,명동,3일권,2,0
2024-01-05 21:00:00,4호선,명동,5일권,1,0
2024-01-05 21:00:00,4호선,숙대입구(갈월),5일권,0,1
2024-01-05 22:00:00,3호선,녹번,3일권,0,2
2024-01-05 22:00:00,4호선,동대문,2일권,0,1
2024-01-05 23:00:00,4호선,혜화,2일권,1,0
2024-01-05 23:00:00,4호선,서울역,2일권,0,1
2024-01-06 08:00:00,3호선,녹번,3일권,1,0
2024-01-06 08:00:00,4호선,서울역,5일권,0,1
2024-01-06 08:00:00,4호선,숙대입구(갈월),5일권,1,0
2024-01-06 09:00:00,3호선,경복궁(정부서울청사),3일권,0,1
2024-01-06 10:00:00,2호선,시청,3일권,3,0
2024-01-06 11:00:00,2호선,뚝섬,3일권,0,3
2024-01-06 12:00:00,3호선,녹번,3일권,1,0
2024-01-06 13:00:00,5호선,여의나루,3일권,0,1
2024-01-06 14:00:00,5호선,여의나루,3일권,1,0
2024-01-06 15:00:00,4호선,이촌(국립중앙박물관),3일권,0,1
2024-01-06 16:00:00,3호선,안국,3일권,1,0
2024-01-06 16:00:00,3호선,종로3가,3일권,0,1
2024-01-06 17:00:00,4호선,이촌(국립중앙박물관),3일권,1,0
2024-01-06 18:00:00,2호선,홍대입구,3일권,0,2
2024-01-06 18:00:00,3호선,종로3가,3일권,1,0
2024-01-06 22:00:00,2호선,신촌,3일권,2,0
2024-01-06 22:00:00,3호선,녹번,3일권,0,2
2024-01-07 00:00:00,3호선,독립문,3일권,0,2
2024-01-07 09:00:00,3호선,녹번,3일권,2,0
2024-01-07 09:00:00,4호선,명동,3일권,0,2
2024-01-07 12:00:00,2호선,잠실(송파구청),3일권,0,2
2024-01-07 12:00:00,4호선,회현(남대문시장),3일권,2,0
2024-01-07 17:00:00,2호선,잠실(송파구청),3일권,2,0
2024-01-07 18:00:00,2호선,강남,3일권,0,2
2024-01-07 21:00:00,4호선,명동,3일권,2,2
2024-01-07 22:00:00,4호선,서울역,3일권,0,2
2024-01-07 23:00:00,1호선,서울역,3일권,2,0
2024-01-08 10:00:00,4호선,명동,2일권,0,2
2024-01-08 10:00:00,4호선,서울역,2일권,2,0
2024-01-08 11:00:00,4호선,명동,2일권,2,0
2024-01-08 11:00:00,4호선,신용산,2일권,0,2
2024-01-08 13:00:00,4호선,신용산,2일권,2,0
2024-01-08 14:00:00,2호선,홍대입구,2일권,0,2
2024-01-08 21:00:00,2호선,을지로입구,3일권,2,1
2024-01-08 21:00:00,2호선,구로디지털단지,3일권,0,1
2024-01-08 21:00:00,3호선,신사,2일권,2,0
2024-01-09 00:00:00,4호선,명동,2일권,0,2
2024-01-09 18:00:00,2호선,낙성대(강감찬),3일권,6,0
2024-01-09 19:00:00,2호선,강남,2일권,0,2
2024-01-09 19:00:00,2호선,구로디지털단지,3일권,0,6
2024-01-09 19:00:00,4호선,명동,2일권,2,0
2024-01-09 23:00:00,2호선,홍대입구,2일권,2,0
2024-01-10 19:00:00,2호선,을지로3가,3일권,0,1
2024-01-10 19:00:00,2호선,홍대입구,3일권,1,0
2024-01-12 10:00:00,1호선,서울역,2일권,1,0
2024-01-12 10:00:00,1호선,종로5가,2일권,0,1
2024-01-12 16:00:00,2호선,시청,2일권,1,0
2024-01-12 16:00:00,2호선,합정,2일권,0,1
2024-01-13 10:00:00,2호선,구로디지털단지,2일권,2,0
2024-01-13 11:00:00,2호선,합정,2일권,1,0
2024-01-13 11:00:00,3호선,경복궁(정부서울청사),2일권,0,2
2024-01-13 13:00:00,3호선,경복궁(정부서울청사),2일권,2,0
2024-01-13 13:00:00,3호선,안국,2일권,0,2
2024-01-13 14:00:00,1호선,종각,2일권,1,0
2024-01-13 15:00:00,4호선,명동,2일권,0,2
2024-01-13 16:00:00,2호선,구로디지털단지,2일권,0,2
2024-01-13 16:00:00,4호선,명동,2일권,2,0
2024-01-14 10:00:00,2호선,종합운동장,2일권,0,2
2024-01-14 10:00:00,2호선,구로디지털단지,2일권,2,0
2024-01-14 11:00:00,2호선,잠실(송파구청),2일권,0,2
2024-01-14 11:00:00,2호선,종합운동장,2일권,2,0
2024-01-14 13:00:00,2호선,동대문역사문화공원(DDP),2일권,0,2
2024-01-14 13:00:00,2호선,잠실(송파구청),2일권,2,0
2024-01-14 14:00:00,2호선,을지로4가,2일권,2,2
2024-01-14 14:00:00,2호선,동대문역사문화공원(DDP),2일권,2,0
2024-01-14 15:00:00,2호선,구로디지털단지,2일권,0,2
2024-01-17 12:00:00,1호선,서울역,1일권,2,0
2024-01-17 12:00:00,3호선,경복궁(정부서울청사),1일권,0,2
2024-01-17 14:00:00,3호선,경복궁(정부서울청사),1일권,2,0
2024-01-17 14:00:00,3호선,안국,1일권,0,2
2024-01-17 16:00:00,3호선,안국,1일권,2,0
2024-01-17 17:00:00,1호선,종로5가,1일권,3,0
2024-01-17 17:00:00,2호선,잠실(송파구청),1일권,0,2
2024-01-17 18:00:00,2호선,잠실(송파구청),1일권,2,0
2024-01-17 18:00:00,2호선,선릉,1일권,0,3
2024-01-17 19:00:00,4호선,명동,1일권,0,2
2024-01-17 21:00:00,4호선,명동,1일권,2,0
2024-01-17 22:00:00,1호선,동묘앞,1일권,0,2
2024-01-18 10:00:00,3호선,종로3가,1일권,8,0
2024-01-18 10:00:00,5호선,종로3가,1일권,6,0
2024-01-18 11:00:00,1호선,시청,1일권,3,3
2024-01-18 11:00:00,1호선,동묘앞,1일권,0,3
2024-01-18 11:00:00,2호선,뚝섬,1일권,0,2
2024-01-18 11:00:00,2호선,성수,1일권,0,4
2024-01-18 11:00:00,2호선,삼성(무역센터),1일권,0,5
2024-01-18 11:00:00,3호선,압구정,1일권,0,5
2024-01-18 11:00:00,5호선,종로3가,1일권,5,0
2024-01-18 12:00:00,2호선,을지로입구,1일권,2,0
2024-01-18 12:00:00,2호선,홍대입구,1일권,0,2
2024-01-18 12:00:00,3호선,안국,1일권,3,0
2024-01-18 12:00:00,5호선,종로3가,1일권,2,0
2024-01-18 13:00:00,1호선,동묘앞,1일권,2,0
2024-01-18 13:00:00,2호선,왕십리(성동구청),1일권,0,2
2024-01-18 13:00:00,2호선,성수,1일권,4,0
2024-01-18 13:00:00,2호선,신촌,1일권,2,2
2024-01-18 13:00:00,8호선,장지,1일권,0,1
2024-01-18 14:00:00,2호선,성수,1일권,0,5
2024-01-18 14:00:00,2호선,잠실새내,1일권,1,1
2024-01-18 14:00:00,2호선,삼성(무역센터),1일권,5,0
2024-01-18 14:00:00,4호선,명동,1일권,0,6
2024-01-18 14:00:00,4호선,명동,3일권,1,0
2024-01-18 14:00:00,8호선,잠실(송파구청),1일권,0,1
2024-01-18 14:00:00,8호선,장지,1일권,1,0
2024-01-18 15:00:00,1호선,동묘앞,1일권,1,0
2024-01-18 15:00:00,2호선,홍대입구,1일권,2,5
2024-01-18 15:00:00,3호선,종로3가,1일권,0,1
2024-01-18 15:00:00,5호선,종로3가,1일권,0,2
2024-01-18 16:00:00,2호선,을지로4가,5일권,0,1
2024-01-18 16:00:00,5호선,종로3가,1일권,0,2
2024-01-18 16:00:00,6호선,합정,5일권,1,0
2024-01-18 17:00:00,1호선,종각,1일권,0,5
2024-01-18 17:00:00,2호선,을지로입구,1일권,4,0
2024-01-18 17:00:00,2호선,성수,1일권,5,0
2024-01-18 17:00:00,2호선,잠실(송파구청),1일권,1,0
2024-01-18 17:00:00,2호선,홍대입구,1일권,5,0
2024-01-18 17:00:00,3호선,종로3가,1일권,0,4
2024-01-18 18:00:00,2호선,강남,3일권,1,0
2024-01-18 18:00:00,5호선,종로3가,1일권,0,6
2024-01-18 19:00:00,2호선,홍대입구,3일권,0,1
2024-01-18 21:00:00,1호선,시청,3일권,1,0
