관리번호,호선,역코드,역명,역번호,기준일자,상하행,방향(다음역),칸-문번호,승하차시설,시설번호,엘리베이터번호,통로위치,시설위치
726,1호선,0150,서울역,133,20241231,하행,남영,2-3,에스컬레이터,1143969,1806-600,서울역(1) B2,"남영 방면2-3, 시청 방면9-2"
727,1호선,0150,서울역,133,20241231,상행,시청,9-3,에스컬레이터,1143970,1806-599,서울역(1) B2,"시청 방면9-3, 남영 방면2-2"
519,1호선,0150,서울역,133,20241231,하행,남영,4-4,엘리베이터,1145284,0074-205,서울역(1) B2,"시청 방면5-1, 남영 방면4-4"
2195,1호선,0150,서울역,133,20241231,하행,남영,10-4,계단,,,,
2196,1호선,0150,서울역,133,20241231,하행,남영,1-1,계단,,,,
2197,1호선,0150,서울역,133,20241231,하행,남영,8-1,계단,,,,
2198,1호선,0150,서울역,133,20241231,하행,남영,4-2,계단,,,,
1047,1호선,0150,서울역,133,20241231,상행,시청,9-2,에스컬레이터,1143969,1806-600,서울역(1) B2,"남영 방면2-3, 시청 방면9-2"
1048,1호선,0150,서울역,133,20241231,하행,남영,2-2,에스컬레이터,1143970,1806-599,서울역(1) B2,"시청 방면9-3, 남영 방면2-2"
1100,1호선,0150,서울역,133,20241231,상행,시청,1-1,계단,,,,
1101,1호선,0150,서울역,133,20241231,상행,시청,10-4,계단,,,,
1102,1호선,0150,서울역,133,20241231,상행,시청,3-4,계단,,,,
1103,1호선,0150,서울역,133,20241231,상행,시청,7-3,계단,,,,
166,1호선,0150,서울역,133,20241231,상행,시청,5-1,엘리베이터,1145284,0074-205,서울역(1) B2,"시청 방면5-1, 남영 방면4-4"
1104,1호선,0151,시청,132,20241231,상행,종각,2-2,계단,,,,
1105,1호선,0151,시청,132,20241231,상행,종각,4-1,계단,,,,
1106,1호선,0151,시청,132,20241231,상행,종각,4-1,계단,,,,
1107,1호선,0151,시청,132,20241231,상행,종각,6-1,계단,,,,
1108,1호선,0151,시청,132,20241231,상행,종각,7-4,계단,,,,
1109,1호선,0151,시청,132,20241231,하행,서울역,5-4,계단,,,,
1110,1호선,0151,시청,132,20241231,하행,서울역,7-4,계단,,,,
1111,1호선,0151,시청,132,20241231,하행,서울역,9-3,계단,,,,
93,1호선,0151,시청,132,20241231,상행,종각,3-2,엘리베이터,1042183,0002-888,시청(1) B2,종각 방면3-2
94,1호선,0151,시청,132,20241231,하행,서울역,8-3,엘리베이터,1042184,0002-887,시청(1) B2,서울역 방면8-3
1112,1호선,0152,종각,131,20241231,상행,종로3가,1-4,계단,,,,
1113,1호선,0152,종각,131,20241231,상행,종로3가,10-1,계단,,,,
1114,1호선,0152,종각,131,20241231,상행,종로3가,6-1,계단,,,,
1115,1호선,0152,종각,131,20241231,상행,종로3가,7-4,계단,,,,
1116,1호선,0152,종각,131,20241231,하행,시청,1-4,계단,,,,
1117,1호선,0152,종각,131,20241231,하행,시청,10-1,계단,,,,
1118,1호선,0152,종각,131,20241231,하행,시청,4-1,계단,,,,
1119,1호선,0152,종각,131,20241231,하행,시청,5-4,계단,,,,
136,1호선,0152,종각,131,20241231,상행,종로3가,6-4,엘리베이터,1042255,0000-506,종각 B2,종로3가 방면6-4
137,1호선,0152,종각,131,20241231,하행,시청,4-4,엘리베이터,1042256,0000-507,종각 B2,시청 방면4-4
51,1호선,0153,종로3가,130,20241231,상행,종로5가,5-1,엘리베이터,1042127,0000-512,종로3가(1) B2,종로5가 방면5-1
52,1호선,0153,종로3가,130,20241231,하행,종각,6-4,엘리베이터,1042128,0000-513,종로3가(1) B2,종각 방면6-4
1120,1호선,0153,종로3가,130,20241231,상행,종로5가,2-2,계단,,,,
1121,1호선,0153,종로3가,130,20241231,상행,종로5가,4-2,계단,,,,
1122,1호선,0153,종로3가,130,20241231,상행,종로5가,7-3,계단,,,,
1123,1호선,0153,종로3가,130,20241231,상행,종로5가,9-3,계단,,,,
1124,1호선,0153,종로3가,130,20241231,하행,종각,2-2,계단,,,,
1125,1호선,0153,종로3가,130,20241231,하행,종각,4-2,계단,,,,
1126,1호선,0153,종로3가,130,20241231,하행,종각,7-3,계단,,,,
1127,1호선,0153,종로3가,130,20241231,하행,종각,9-3,계단,,,,
1128,1호선,0154,종로5가,129,20241231,상행,동대문,2-3,계단,,,,
1129,1호선,0154,종로5가,129,20241231,상행,동대문,4-3,계단,,,,
1130,1호선,0154,종로5가,129,20241231,상행,동대문,7-3,계단,,,,
